PBO Station Position Time Series. Reference Frame : Unknown										
Format Version: 1.1.0										
4-character ID: P14P										
Station name  : P14P_GPS        										
First Epoch   : 20100101 115900										
Last Epoch    : 20190907 115900										
Release Date  : 20200121 081140										
NEU Reference position :    -0.9055214917  119.8367143000  137.04220 (Unknown/WGS84)										
Start Field Description										
YYYYMMDD      Year, month, day for the given position epoch										
dN            Difference in North component from NEU reference position, meters										
dE            Difference in East component from NEU reference position, meters										
du            Difference in vertical component from NEU reference position, meters										
Sn            Standard deviation of dN, meters										
Se            Standard deviation of dE, meters										
Su            Standard deviation of dU, meters										
Rne           Correlation of dN and dE										
Rnu           Correlation of dN and dU										
Reu           Correlation of dEand dU										
"Soln          ""rapid"", ""final"", ""suppl/suppf"", ""campd"", or ""repro"" corresponding to products  generated with rapid or final orbit products, in supplemental processing, campaign data processing or reprocessing"										
End Field Description										
*YYYYMMDD	dN	dE	dU	Sn	Se	Su	Rne	Rnu	Reu	Soln
20190305	-106.992	0.57756	-0.30966	0.00299	0.00407	0.01177	-0.092	0.030	-0.102	daily
20190306	-107.161	0.57458	-0.31412	0.00261	0.00355	0.01014	-0.072	0.018	-0.094	daily
20190307	-107.216	0.57613	-0.31393	0.00315	0.00391	0.01275	-0.080	-0.025	-0.032	daily
20190308	-107.048	0.57901	-0.30839	0.00251	0.00323	0.00920	-0.083	0.032	-0.074	daily
20190309	-107.329	0.57920	-0.32038	0.00256	0.00363	0.00960	-0.084	0.051	-0.173	daily
20190310	-107.066	0.57683	-0.31098	0.00274	0.00370	0.01004	-0.072	0.029	-0.056	daily
20190311	-107.102	0.57899	-0.30692	0.00265	0.00376	0.01051	-0.106	0.020	-0.078	daily
20190312	-107.061	0.57755	-0.31495	0.00239	0.00361	0.00875	-0.130	-0.005	-0.092	daily
20190313	-107.074	0.57687	-0.31289	0.00258	0.00371	0.01000	-0.124	0.006	-0.125	daily
20190314	-107.236	0.58181	-0.30470	0.00277	0.00405	0.00989	-0.081	0.085	-0.003	daily
20190315	-106.999	0.58024	-0.31953	0.00281	0.00378	0.01072	-0.083	-0.024	-0.045	daily
20190316	-106.641	0.58146	-0.30861	0.00269	0.00365	0.01017	-0.111	0.059	-0.100	daily
20190317	-106.667	0.58347	-0.31616	0.00298	0.00423	0.01250	-0.088	0.004	-0.084	daily
20190318	-107.297	0.57817	-0.31560	0.00253	0.00370	0.00920	-0.141	0.055	-0.064	daily
20190319	-107.159	0.57868	-0.30266	0.00270	0.00349	0.00985	-0.036	-0.010	-0.085	daily
20190320	-106.808	0.58059	-0.30978	0.00264	0.00383	0.00934	-0.038	-0.063	-0.016	daily
20190322	-106.916	0.58263	-0.30279	0.00294	0.00386	0.01074	-0.027	-0.037	-0.056	daily
